model_type,learning_rate,hidden_size,epoch,batch_size,pooling_style,optimizer,acc,time（预测100条耗时）
cnn,0.001,128,3,128,max,adam,0.9153108051731331,0.11760928199160844
lstm,0.001,128,3,128,max,adam,0.9115561118064247,0.41906095198821275
bert,0.001,128,1,128,max,adam,0.9023779724655819,6.951269681998529
gated_cnn,0.001,128,10,64,avg,adam,0.8973717146433041,0.3170323540200479
gated_cnn,0.001,128,10,64,max,adam,0.904881101376721,0.3704304580041207
gated_cnn,0.001,128,10,128,avg,adam,0.8973717146433041,0.13445523002184928
gated_cnn,0.001,128,10,128,max,adam,0.8927826449728827,0.17277372000273317
gated_cnn,0.0001,128,10,64,avg,adam,0.8931998331247393,0.3397059909859672
gated_cnn,0.0001,128,10,64,max,adam,0.9073842302878599,0.352937930948101
gated_cnn,0.0001,128,10,128,avg,adam,0.8777638715060492,0.13719922200310974
gated_cnn,0.0001,128,10,128,max,adam,0.9123904881101377,0.17105547599494458
lstm,0.001,128,10,64,avg,adam,0.8977889027951607,0.7091684179846197
lstm,0.001,128,10,64,max,adam,0.8957029620358782,0.7788329060352407
lstm,0.001,128,10,128,avg,adam,0.9002920317062996,0.35904448801651595
lstm,0.001,128,10,128,max,adam,0.8952857738840216,0.37714255198370666
lstm,0.0001,128,10,64,avg,adam,0.8973717146433041,0.7498380040493794
lstm,0.0001,128,10,64,max,adam,0.8990404672507301,0.781897948984988
lstm,0.0001,128,10,128,avg,adam,0.8982060909470171,0.3919397760042921
lstm,0.0001,128,10,128,max,adam,0.9011264080100125,0.42701691600959746
rnn,0.001,128,10,64,avg,adam,0.8982060909470171,0.5264690040145069
rnn,0.001,128,10,64,max,adam,0.8731748018356279,0.47611799797276033
rnn,0.001,128,10,128,avg,adam,0.901543596161869,0.2920144679909572
rnn,0.001,128,10,128,max,adam,0.8894451397580309,0.1969258859893307
rnn,0.0001,128,10,64,avg,adam,0.8877763871506049,0.392320175988134
rnn,0.0001,128,10,64,max,adam,0.8944513975803087,0.4573303970484994
rnn,0.0001,128,10,128,avg,adam,0.8744263662911973,0.1744572779769078
rnn,0.0001,128,10,128,max,adam,0.8756779307467668,0.1961766900261864
bert,0.001,128,10,64,avg,adam,0.8627450980392157,51.123428914994
rcnn,0.0001,128,130,128,max,adam,0.8902337228714524,0.3813444540230557
stack_gated_cnn,0.001,256,10,64,max,adam,0.8977462437395659,3.2926922709913926
