2025-12-16 16:41:07,150 - evaluate.py - INFO - 对该轮训练结果进行预测...
2025-12-16 16:41:07,852 - evaluate.py - INFO - batch_x.shape:torch.Size([20, 50]), batch_y_pred.shape:torch.Size([20, 50])
2025-12-16 16:41:07,853 - evaluate.py - INFO - entity_info:{'PERSON': defaultdict(<class 'int'>, {'total_count': 1}), 'LOCATION': defaultdict(<class 'int'>, {}), 'ORGANIZATION': defaultdict(<class 'int'>, {}), 'TIME': defaultdict(<class 'int'>, {})}
2025-12-16 16:41:07,854 - evaluate.py - INFO - entity_info:{'PERSON': defaultdict(<class 'int'>, {'total_count': 1}), 'LOCATION': defaultdict(<class 'int'>, {'total_count': 7}), 'ORGANIZATION': defaultdict(<class 'int'>, {}), 'TIME': defaultdict(<class 'int'>, {'total_count': 1})}
2025-12-16 16:41:07,854 - evaluate.py - INFO - entity_info:{'PERSON': defaultdict(<class 'int'>, {'total_count': 1}), 'LOCATION': defaultdict(<class 'int'>, {'total_count': 9}), 'ORGANIZATION': defaultdict(<class 'int'>, {}), 'TIME': defaultdict(<class 'int'>, {'total_count': 1})}
2025-12-16 16:41:07,855 - evaluate.py - INFO - entity_info:{'PERSON': defaultdict(<class 'int'>, {'total_count': 1}), 'LOCATION': defaultdict(<class 'int'>, {'total_count': 10}), 'ORGANIZATION': defaultdict(<class 'int'>, {}), 'TIME': defaultdict(<class 'int'>, {'total_count': 1})}
2025-12-16 16:41:07,855 - evaluate.py - INFO - entity_info:{'PERSON': defaultdict(<class 'int'>, {'total_count': 1}), 'LOCATION': defaultdict(<class 'int'>, {'total_count': 12}), 'ORGANIZATION': defaultdict(<class 'int'>, {}), 'TIME': defaultdict(<class 'int'>, {'total_count': 1})}
2025-12-16 16:41:07,856 - evaluate.py - INFO - entity_info:{'PERSON': defaultdict(<class 'int'>, {'total_count': 2}), 'LOCATION': defaultdict(<class 'int'>, {'total_count': 12}), 'ORGANIZATION': defaultdict(<class 'int'>, {}), 'TIME': defaultdict(<class 'int'>, {'total_count': 2})}
2025-12-16 16:41:07,856 - evaluate.py - INFO - entity_info:{'PERSON': defaultdict(<class 'int'>, {'total_count': 2}), 'LOCATION': defaultdict(<class 'int'>, {'total_count': 12}), 'ORGANIZATION': defaultdict(<class 'int'>, {}), 'TIME': defaultdict(<class 'int'>, {'total_count': 3})}
2025-12-16 16:41:07,857 - evaluate.py - INFO - entity_info:{'PERSON': defaultdict(<class 'int'>, {'total_count': 2}), 'LOCATION': defaultdict(<class 'int'>, {'total_count': 12}), 'ORGANIZATION': defaultdict(<class 'int'>, {}), 'TIME': defaultdict(<class 'int'>, {'total_count': 4})}
2025-12-16 16:41:07,857 - evaluate.py - INFO - entity_info:{'PERSON': defaultdict(<class 'int'>, {'total_count': 2}), 'LOCATION': defaultdict(<class 'int'>, {'total_count': 13}), 'ORGANIZATION': defaultdict(<class 'int'>, {}), 'TIME': defaultdict(<class 'int'>, {'total_count': 4})}
2025-12-16 16:41:07,857 - evaluate.py - INFO - entity_info:{'PERSON': defaultdict(<class 'int'>, {'total_count': 2}), 'LOCATION': defaultdict(<class 'int'>, {'total_count': 18}), 'ORGANIZATION': defaultdict(<class 'int'>, {}), 'TIME': defaultdict(<class 'int'>, {'total_count': 4})}
2025-12-16 16:41:07,858 - evaluate.py - INFO - entity_info:{'PERSON': defaultdict(<class 'int'>, {'total_count': 2}), 'LOCATION': defaultdict(<class 'int'>, {'total_count': 19}), 'ORGANIZATION': defaultdict(<class 'int'>, {}), 'TIME': defaultdict(<class 'int'>, {'total_count': 4})}
2025-12-16 16:41:07,858 - evaluate.py - INFO - entity_info:{'PERSON': defaultdict(<class 'int'>, {'total_count': 2}), 'LOCATION': defaultdict(<class 'int'>, {'total_count': 20}), 'ORGANIZATION': defaultdict(<class 'int'>, {}), 'TIME': defaultdict(<class 'int'>, {'total_count': 4})}
2025-12-16 16:41:07,859 - evaluate.py - INFO - entity_info:{'PERSON': defaultdict(<class 'int'>, {'total_count': 4}), 'LOCATION': defaultdict(<class 'int'>, {'total_count': 21}), 'ORGANIZATION': defaultdict(<class 'int'>, {}), 'TIME': defaultdict(<class 'int'>, {'total_count': 5})}
2025-12-16 16:41:07,859 - evaluate.py - INFO - entity_info:{'PERSON': defaultdict(<class 'int'>, {'total_count': 5}), 'LOCATION': defaultdict(<class 'int'>, {'total_count': 21}), 'ORGANIZATION': defaultdict(<class 'int'>, {}), 'TIME': defaultdict(<class 'int'>, {'total_count': 5})}
