model_type, batch_size, learning_rate, sentence_len, embed_dim, pooling_style, num_layers, kernel_size, num_epochs, 最后一轮准确率, 训练及验证的耗时(秒)
fast_text,64,0.001,50,24, avg, -, -,12,0.908 ,3.56 
fast_text,64,0.001,50,24, max, -, -,12,0.888 ,3.78 
fast_text,64,0.001,50,48, avg, -, -,12,0.913 ,3.62 
fast_text,64,0.001,50,48, max, -, -,12,0.898 ,3.69 
fast_text,64,0.001,80,24, avg, -, -,12,0.908 ,3.18 
fast_text,64,0.001,80,24, max, -, -,12,0.866 ,3.48 
fast_text,64,0.001,80,48, avg, -, -,12,0.911 ,3.54 
fast_text,64,0.001,80,48, max, -, -,12,0.893 ,3.95 
fast_text,64,0.002,50,24, avg, -, -,12,0.915 ,3.28 
fast_text,64,0.002,50,24, max, -, -,12,0.898 ,3.36 
fast_text,64,0.002,50,48, avg, -, -,12,0.911 ,4.25 
fast_text,64,0.002,50,48, max, -, -,12,0.895 ,4.29 
fast_text,64,0.002,80,24, avg, -, -,12,0.918 ,3.53 
fast_text,64,0.002,80,24, max, -, -,12,0.888 ,4.00 
fast_text,64,0.002,80,48, avg, -, -,12,0.908 ,4.09 
fast_text,64,0.002,80,48, max, -, -,12,0.900 ,4.37 
fast_text,128,0.001,50,24, avg, -, -,12,0.901 ,1.98 
fast_text,128,0.001,50,24, max, -, -,12,0.861 ,2.20 
fast_text,128,0.001,50,48, avg, -, -,12,0.908 ,2.58 
fast_text,128,0.001,50,48, max, -, -,12,0.876 ,2.62 
fast_text,128,0.001,80,24, avg, -, -,12,0.898 ,2.10 
fast_text,128,0.001,80,24, max, -, -,12,0.858 ,2.35 
fast_text,128,0.001,80,48, avg, -, -,12,0.907 ,2.55 
fast_text,128,0.001,80,48, max, -, -,12,0.874 ,2.83 
fast_text,128,0.002,50,24, avg, -, -,12,0.903 ,2.17 
fast_text,128,0.002,50,24, max, -, -,12,0.875 ,2.40 
fast_text,128,0.002,50,48, avg, -, -,12,0.916 ,2.45 
fast_text,128,0.002,50,48, max, -, -,12,0.902 ,2.65 
fast_text,128,0.002,80,24, avg, -, -,12,0.905 ,2.23 
fast_text,128,0.002,80,24, max, -, -,12,0.888 ,2.23 
fast_text,128,0.002,80,48, avg, -, -,12,0.915 ,2.84 
fast_text,128,0.002,80,48, max, -, -,12,0.891 ,2.83 
rnn,64,0.001,50,24, avg,1, -,12,0.898 ,11.63 
rnn,64,0.001,50,24, avg,3, -,12,0.879 ,26.27 
