model_type,learning_rate,hidden_size,batch_size,pooling_style,accuracy,time_consuming
gated_cnn,0.001,128,64,avg,89.87%,23.03s
gated_cnn,0.001,128,64,max,87.91%,24.84s
gated_cnn,0.001,128,128,avg,86.03%,18.88s
gated_cnn,0.001,128,128,max,89.49%,15.66s
gated_cnn,0.0001,128,64,avg,90.03%,24.58s
gated_cnn,0.0001,128,64,max,89.74%,24.2s
gated_cnn,0.0001,128,128,avg,89.41%,20.09s
gated_cnn,0.0001,128,128,max,89.45%,19.99s
stack_gated_cnn,0.001,128,64,avg,80.53%,58.62s
stack_gated_cnn,0.001,128,64,max,89.28%,58.45s
stack_gated_cnn,0.001,128,128,avg,88.74%,48.61s
stack_gated_cnn,0.001,128,128,max,87.82%,47.41s
stack_gated_cnn,0.0001,128,64,avg,90.16%,57.16s
stack_gated_cnn,0.0001,128,64,max,88.20%,57.36s
stack_gated_cnn,0.0001,128,128,avg,90.58%,47.89s
stack_gated_cnn,0.0001,128,128,max,90.16%,47.52s
lstm,0.001,128,64,avg,89.57%,57.78s
lstm,0.001,128,64,max,86.95%,57.89s
lstm,0.001,128,128,avg,89.70%,52.14s
lstm,0.001,128,128,max,86.24%,51.16s
lstm,0.0001,128,64,avg,89.12%,57.08s
lstm,0.0001,128,64,max,89.95%,56.09s
lstm,0.0001,128,128,avg,90.87%,51.74s
lstm,0.0001,128,128,max,91.83%,50.88s
fast_text,0.001,128,64,avg,88.57%,6.47s
fast_text,0.001,128,64,max,89.78%,6.62s
fast_text,0.001,128,128,avg,88.99%,4.28s
fast_text,0.001,128,128,max,89.41%,4.31s
fast_text,0.0001,128,64,avg,88.57%,6.33s
fast_text,0.0001,128,64,max,88.32%,6.8s
fast_text,0.0001,128,128,avg,92.62%,4.39s
fast_text,0.0001,128,128,max,96.33%,4.34s
